epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.253,0.87521,1.37041,1.95637,1.10459,0.51263,0.728,0.64422,0.43654,0.51826,0.736,0.65596,0.48907,1.17004,4.03176,4.39582,1.57291,0.000656085,0.000656085,0.000656085
2,185.65,1.02565,1.44585,1.05357,1.17293,0.00332,0.72,0.00329,0.00191,0.00369,0.792,0.00379,0.0022,1.59216,37.1801,inf,2.53006,0.0011918,0.0011918,0.0011918
3,255.559,1.06538,1.41676,0.97085,1.17358,0.57897,0.36,0.36334,0.2233,0.57897,0.36,0.35941,0.23422,1.46977,13.8827,8.06125,1.85831,0.00159551,0.00159551,0.00159551
4,317.491,1.02971,1.26466,0.84255,1.15142,0.02083,0.064,0.00498,0.00228,0.01823,0.056,0.00391,0.00224,nan,nan,nan,nan,0.001406,0.001406,0.001406
5,375.988,0.93225,1.21301,0.75849,1.10417,0.89134,0.84,0.91039,0.68227,0.89134,0.84,0.91797,0.73284,0.89696,1.33788,3.24571,1.10605,0.001208,0.001208,0.001208
6,438.839,0.86376,1.1552,0.72865,1.0539,0.89264,0.912,0.95263,0.73379,0.89264,0.912,0.95263,0.78284,0.82844,1.02425,0.68507,1.00734,0.00101,0.00101,0.00101
7,504.149,0.81398,1.01786,0.6095,1.05929,0.91339,0.92806,0.97938,0.76221,0.91339,0.92806,0.97938,0.79243,0.80311,1.02647,0.57325,1.02735,0.000812,0.000812,0.000812
8,600.653,0.74003,0.93781,0.50782,0.99963,0.98308,0.896,0.97642,0.80659,0.98308,0.896,0.97642,0.81937,0.72779,0.92458,0.48722,0.97819,0.000614,0.000614,0.000614
9,685.982,0.70708,0.90612,0.48268,0.98494,0.96761,0.95591,0.99058,0.82356,0.96761,0.95591,0.99058,0.82984,0.66287,0.83855,0.4431,0.96754,0.000416,0.000416,0.000416
10,771.846,0.64574,0.86208,0.44944,0.97694,0.96388,0.984,0.99214,0.84168,0.96388,0.984,0.99214,0.84233,0.63827,0.82993,0.38977,0.96599,0.000218,0.000218,0.000218
